title,description,category,wholesale_price,selling_price,mrp,stock,gst_percent,hsn_code,image_url_1,image_url_2,image_url_3,is_active
DNV Masala Papad - 180 g,"DNV Masala Papad ? freshly ground spice blend to add authentic flavour to your cooking, 180 g.",Groceries,73,71,75,10,5,910,,,,
Dobra Pop Goli Soda - Grape - 225 ml,"Dobra Pop Goli Soda ? refreshing drink to quench your thirst anytime, Grape.",Groceries,73,71,75,10,12,2202,,,,
Doctor's Choice High Protein Crunchy Peanut Butter - 350 g,"Doctor's Choice High Protein Crunchy Peanut Butter ? creamy and fresh butter, perfect for cooking and spreading, 350 g.",Groceries,436,422,449,10,12,405,,,,
Doctor's Choice High Protein Crunchy Peanut Butter - 750 g,"Doctor's Choice High Protein Crunchy Peanut Butter ? creamy and fresh butter, perfect for cooking and spreading, 750 g.",Groceries,678,658,699,10,12,405,,,,
Doctor's Choice High Protein Oats - Dark Choco Berry - 375 g,"Doctor's Choice High Protein Oats ? wholesome breakfast option packed with nutrients and fibre, Dark Choco Berry.",Groceries,397,385,409,10,5,1101,,,,
Dodha Burfi by Haldiram's - 350 g,"Dodha Burfi by Haldiram's ? quality product for everyday use, 350 g.",Groceries,252,245,260,10,,,,,,
Dog Meal Chicken and Liver Wet Dog Food - 850 g (2 x 425 g),"Dog Meal Chicken and Liver Wet Dog Food ? nutritionally balanced pet food for a healthy and active pet, 850 g (2 x 425 g).",Groceries,328,318,338,10,12,2309,,,,
DOKi Portuguese Peri Peri Pork Puffs - 25 g,"DOKi Portuguese Peri Peri Pork Puffs ? quality product for everyday use, 25 g.",Groceries,146,141,150,10,,,,,,
Domex Disinfectant Floor Cleaner - 1 l,"Domex Disinfectant Floor Cleaner ? powerful cleaning formula for sparkling clean results every time, 1 l.",Home,213,207,220,10,18,3402,,,,
Domyos by Decathlon Cotton Crew Neck Plain T-Shirt (Blue) - 1 unit,Domyos by Decathlon Cotton Crew Neck Plain T-Shirt (Blue) ? comfortable and stylish wear for everyday use.,Fashion,387,375,399,10,12,6204,,,,
Domyos by Decathlon Men's Cotton Track Pants (Black) - 1 UNIT,"Domyos by Decathlon Men's Cotton Track Pants (Black) ? quality kitchenware for everyday cooking and dining, 1 UNIT.",Fashion,"1,163","1,128","1,199",10,12,6204,,,,
Domyos by Decathlon Mens Quick Dry Fitness Track Pants (Black) - 1 piece,"Domyos by Decathlon Mens Quick Dry Fitness Track Pants (Black) ? quality kitchenware for everyday cooking and dining, 1 piece.",Fashion,"1,648","1,599","1,699",10,12,6204,,,,
Domyos by Decathlon Mens Quick Dry Zip Pocket Gym Track Pants (Black) - 1 piece,"Domyos by Decathlon Mens Quick Dry Zip Pocket Gym Track Pants (Black) ? quality kitchenware for everyday cooking and dining, 1 piece.",Fashion,"1,648","1,599","1,699",10,12,6204,,,,
Domyos by Decathlon Regular Fit Cotton T-Shirt (Black) - 1 unit,Domyos by Decathlon Regular Fit Cotton T-Shirt (Black) ? comfortable and stylish wear for everyday use.,Fashion,484,470,499,10,12,6204,,,,
Doritos Cheese Nachos - 110 g,"Doritos Cheese Nachos ? smooth and rich cheese ideal for snacking, cooking and baking, 110 g.",Groceries,48,47,50,10,12,405,,,,
Doritos Cheese Nachos - 71 GM,"Doritos Cheese Nachos ? smooth and rich cheese ideal for snacking, cooking and baking, 71 GM.",Groceries,34,33,35,10,12,405,,,,
Doritos Sweet Chili Pepper Nachos - 48 g,"Doritos Sweet Chili Pepper Nachos ? freshly ground spice blend to add authentic flavour to your cooking, 48 g.",Groceries,242,234,249,10,5,910,,,,
Dot & Key Ceramides Barrier Repair Moisturizer(Tube) - 100 g,"Dot & Key Ceramides Barrier Repair Moisturizer(Tube) ? hydrating formula to keep your skin soft and smooth, 100 g.",Beauty,577,560,595,10,18,3304,,,,
Dot & Key Meltie Lip Balm (Strawberry Glaze)(Tube) - 4 g,"Dot & Key Meltie Lip Balm (Strawberry Glaze)(Tube) ? quality product for everyday use, 4 g.",Groceries,242,234,249,10,,,,,,
Dot & Key Vitamin C + E Super Bright Sunscreen (SPF 50+ PA++++) - 30 g,"Dot & Key Vitamin C + E Super Bright Sunscreen (SPF 50+ PA++++) ? advanced skincare formula for radiant and healthy-looking skin, 30 g.",Beauty,290,281,299,10,18,3304,,,,
Dot & Key Watermelon Cooling Sunscreen (SPF 50+ PA+++)(Tube) - 50 g,"Dot & Key Watermelon Cooling Sunscreen (SPF 50+ PA+++)(Tube) ? pure and refreshing hydration for everyday use, 50 g.",Beauty,432,419,445,10,18,3304,,,,
Dove Exfoliating Body Wash - 825 ml,"Dove Exfoliating Body Wash ? quality product for everyday use, 825 ml.",Beauty,582,565,600,10,18,3304,,,,
Dove Hair Fall Rescue Shampoo For Weak Hair - 650 ML,"Dove Hair Fall Rescue Shampoo For Weak Hair ? nourishing formula for healthy, strong and shiny hair, 650 ML.",Beauty,941,913,970,10,18,3304,,,,
Dove Intense Repair Shampoo - 180 ML,"Dove Intense Repair Shampoo ? nourishing formula for healthy, strong and shiny hair, 180 ML.",Beauty,167,162,172,10,18,3304,,,,
Dove Pink Beauty Bathing Soap (3 x 125 g) - 3 x 125 g,"Dove Pink Beauty Bathing Soap (3 x 125 g) ? effective cleansing formula for soft and fresh skin, 3 x 125 g.",Beauty,296,287,305,10,18,3304,,,,
Dove Pomegranate Seeds & Shea Butter Exfoliating Body Scrub - 100 g,"Dove Pomegranate Seeds & Shea Butter Exfoliating Body Scrub ? creamy and fresh butter, perfect for cooking and spreading, 100 g.",Beauty,436,422,449,10,18,3304,,,,
Dove Refreshing Sakura Blossom Body Wash - 1000 ml,"Dove Refreshing Sakura Blossom Body Wash ? quality product for everyday use, 1000 ml.",Beauty,921,893,949,10,18,3304,,,,
Dr. Oetker FunFoods Pasta & Pizza Pink Sauce - 295 g,"Dr. Oetker FunFoods Pasta & Pizza Pink Sauce ? tangy and flavourful accompaniment to elevate every meal, 295 g.",Groceries,96,93,99,10,5,910,,,,
Dr. Oetker FunFoods Veg Cheese & Chilli Sandwich Spread - 250 g,"Dr. Oetker FunFoods Veg Cheese & Chilli Sandwich Spread ? smooth and rich cheese ideal for snacking, cooking and baking, 250 g.",Groceries,96,93,99,10,12,405,,,,
Dr. Oetker FunFoods Veg Garlic Mayonnaise - 250 GM,"Dr. Oetker FunFoods Veg Garlic Mayonnaise ? quality product for everyday use, 250 GM.",Groceries,90,88,93,10,12,2106,,,,
Dr. Oetker FunFoods Veg Mayonnaise Original - 250 GM,"Dr. Oetker FunFoods Veg Mayonnaise Original ? quality product for everyday use, 250 GM.",Groceries,92,89,95,10,12,2106,,,,
Dr. Ortho Knee Support Cap - 1 pair,"Dr. Ortho Knee Support Cap ? quality product for everyday use, 1 pair.",Fashion,364,353,375,10,12,6204,,,,
Dr. Sheth's Kesar & Kojic Acid Oil-Free Face Moisturizing Cream - 50 g,"Dr. Sheth's Kesar & Kojic Acid Oil-Free Face Moisturizing Cream ? pure cooking oil ideal for healthy and flavourful everyday cooking, 50 g.",Groceries,339,328,349,10,12,405,,,,
Dr.Rashel Vitamin C Nose Pore Strips and Wet Wipes - 20 Pieces,"Dr.Rashel Vitamin C Nose Pore Strips and Wet Wipes ? nutritional supplement to support your health and wellness goals, 20 Pieces.",Health & Wellness,340,329,350,10,12,3005,,,,
Drape My Home Dream Land Microfiber Double Bedsheet (Dark Nude) - 1 set,"Drape My Home Dream Land Microfiber Double Bedsheet (Dark Nude) ? quality product for everyday use, 1 set.",Groceries,"1,454","1,410","1,499",10,,,,,,
DroliaFresh Mix Fragrance Sanitary Urinal Cubes (Mix Fragrance) - 300 g (12 x 25 g),"DroliaFresh Mix Fragrance Sanitary Urinal Cubes (Mix Fragrance) ? quality product for everyday use, 300 g (12 x 25 g).",Health & Wellness,485,470,500,10,12,3005,,,,
DroliaFresh Naphthalene Balls - 400 g,"DroliaFresh Naphthalene Balls ? quality product for everyday use, 400 g.",Groceries,388,376,400,10,,,,,,
Drools Chicken & Liver in Gravy Wet Puppy Food - 1 pack (12 pieces),"Drools Chicken & Liver in Gravy Wet Puppy Food ? nutritionally balanced pet food for a healthy and active pet, 1 pack (12 pieces).",Groceries,242,235,250,10,12,2309,,,,
Drools Chicken and Egg Dry Puppy Food - Free 1.2 kg - 3 kg + 1.2 kg,"Drools Chicken and Egg Dry Puppy Food ? nutritionally balanced pet food for a healthy and active pet, Free 1.2 kg.",Groceries,872,846,899,10,12,2309,,,,
Drools Ocean Fish Dry Cat Food (Adult) - Free 1.2 kg - 3 kg + 1.2 kg,"Drools Ocean Fish Dry Cat Food (Adult) ? nutritionally balanced pet food for a healthy and active pet, Free 1.2 kg.",Groceries,"1,066","1,034","1,099",10,12,2309,,,,
Drools Ocean Fish Dry Cat Food (Adult) - 1.2 kg,"Drools Ocean Fish Dry Cat Food (Adult) ? nutritionally balanced pet food for a healthy and active pet, 1.2 kg.",Groceries,340,329,350,10,12,2309,,,,
Drools Ocean Fish Dry Kitten Food - Free Container - 1.2 kg,"Drools Ocean Fish Dry Kitten Food ? quality product for everyday use, Free Container.",Groceries,369,358,380,10,12,2309,,,,
Drools Ocean Fish Dry Kitten Food - Free Container - 1.2 kg,"Drools Ocean Fish Dry Kitten Food ? quality product for everyday use, Free Container.",Groceries,369,358,380,10,12,2309,,,,
Drools Wet Puppy Food (Chicken Liver Chunks in Gravy) - 6 x 150 g,"Drools Wet Puppy Food (Chicken Liver Chunks in Gravy) ? nutritionally balanced pet food for a healthy and active pet, 6 x 150 g.",Groceries,218,212,225,10,12,2309,,,,
Dry Fruit Besan Laddu by Haldiram's - 400 g,"Dry Fruit Besan Laddu by Haldiram's ? quality product for everyday use, 400 g.",Groceries,340,329,350,10,5,1101,,,,
Dry Fruit Chikki by GO DESi - 28 GM,"Dry Fruit Chikki by GO DESi ? quality product for everyday use, 28 GM.",Groceries,44,42,45,10,18,1806,,,,
Dryfruit Patisa by Haldiram's - 400 g,"Dryfruit Patisa by Haldiram's ? quality product for everyday use, 400 g.",Groceries,272,263,280,10,,,,,,
Dubstep Squad M7 Wired Earphones (Light Grey) - 1 unit,"Dubstep Squad M7 Wired Earphones (Light Grey) delivering rich sound quality with comfortable fit, 1 unit.",Electronics,484,470,499,10,18,8543,,,,
Dukes Duetz Waffy - Chocolate & Orange Wafers - 50 g,"Dukes Duetz Waffy ? quality product for everyday use, Chocolate & Orange Wafers.",Groceries,48,47,50,10,12,2202,,,,
Dukes Duetz Waffy - Strawberry & Orange Wafers - 50 g,"Dukes Duetz Waffy ? quality product for everyday use, Strawberry & Orange Wafers.",Groceries,48,47,50,10,18,1806,,,,
Dukes Waffy Strawberry Wafers - 55 GM,"Dukes Waffy Strawberry Wafers ? quality product for everyday use, 55 GM.",Groceries,44,42,45,10,18,1806,,,,
Duracell CR2032 Coin Battery(Blister Pack) - 1 PACK,"Duracell CR2032 Coin Battery(Blister Pack) ? quality product for everyday use, 1 PACK.",Groceries,87,85,90,10,,,,,,
Duracell Fast Charging Braided Type C to Type C Cable (4A 60 W) - 1 unit,"Fast and reliable duracell fast charging braided type c to type c cable (4a 60 w) for quick device charging, 1 unit.",Electronics,"1,454","1,410","1,499",10,18,8543,,,,
Durex Close Fit Invisible Condom - 3 pieces,"Durex Close Fit Invisible Condom ? quality product for everyday use, 3 pieces.",Groceries,176,170,181,10,,,,,,
Durex Extra Thin Bubblegum Condom - 1 pack (12 pieces),"Durex Extra Thin Bubblegum Condom ? quality product for everyday use, 1 pack (12 pieces).",Groceries,210,203,216,10,,,,,,
Durex Intense Condom -For Her Extra Pleasure(Discreet Packaging) - 3 PIECE,"Durex Intense Condom -For Her Extra Pleasure(Discreet Packaging) ? quality product for everyday use, 3 PIECE.",Groceries,192,186,198,10,,,,,,
Durex Intense Vibe Bullet Personal Massager - 1 UNIT,"Durex Intense Vibe Bullet Personal Massager ? quality product for everyday use, 1 UNIT.",Groceries,"2,727","2,645","2,811",10,,,,,,
Durex Play Ride & Vibe Men's Personal Massager - 1 UNIT,"Durex Play Ride & Vibe Men's Personal Massager ? quality product for everyday use, 1 UNIT.",Groceries,"5,334","5,174","5,499",10,,,,,,
Durex Skin-on-Skin Real Feel Condom - 1 pack (3 pieces),"Durex Skin-on-Skin Real Feel Condom ? quality product for everyday use, 1 pack (3 pieces).",Groceries,176,170,181,10,,,,,,
D'you inbalance Soothing Milky Toner - 100 ml,"D'you inbalance Soothing Milky Toner ? advanced skincare formula for radiant and healthy-looking skin, 100 ml.",Beauty,"2,037","1,976","2,100",10,18,3304,,,,
Earth Rhythm pH Activated Lip & Cheek Tint (Pink) - 1 unit,"Earth Rhythm pH Activated Lip & Cheek Tint (Pink) ? quality product for everyday use, 1 unit.",Groceries,242,234,249,10,,,,,,
"EarthFirst OXO-Biodegradable Garbage Bag (Medium, Light Green) - 4 x 30 pieces","EarthFirst OXO-Biodegradable Garbage Bag (Medium, Light Green) ? energy-efficient lighting solution for home and office use.",Groceries,425,412,438,10,,,,,,
Eastern Arabia Shawarma Masala - 50 g,"Eastern Arabia Shawarma Masala ? freshly ground spice blend to add authentic flavour to your cooking, 50 g.",Groceries,48,47,50,10,5,910,,,,
Eastern Biryani Masala - 100 g,"Eastern Biryani Masala ? freshly ground spice blend to add authentic flavour to your cooking, 100 g.",Groceries,85,83,88,10,5,910,,,,
Eastern Chicken Masala - 100 GM,"Eastern Chicken Masala ? freshly ground spice blend to add authentic flavour to your cooking, 100 GM.",Groceries,66,64,68,10,5,910,,,,
Eastern Chilli Chicken Masala - 100 GM,"Eastern Chilli Chicken Masala ? freshly ground spice blend to add authentic flavour to your cooking, 100 GM.",Groceries,63,61,65,10,5,910,,,,
Eastern Coriander Powder - 250 GM,"Eastern Coriander Powder ? freshly ground spice blend to add authentic flavour to your cooking, 250 GM.",Beauty,97,94,100,10,18,3304,,,,
Eastern Fish Masala - 100 g,"Eastern Fish Masala ? freshly ground spice blend to add authentic flavour to your cooking, 100 g.",Groceries,57,56,59,10,5,910,,,,
Eastern Garam Masala - 100 GM,"Eastern Garam Masala ? freshly ground spice blend to add authentic flavour to your cooking, 100 GM.",Groceries,107,104,110,10,5,910,,,,
Eastern Kasuri Methi - 25 g,"Eastern Kasuri Methi ? quality product for everyday use, 25 g.",Groceries,24,24,25,10,5,910,,,,
Eastern Tamarind (Imli) - 200 GM,"Eastern Tamarind (Imli) ? quality product for everyday use, 200 GM.",Groceries,78,75,80,10,,,,,,
Easysip Multicolour Premium Drinking Reusable Glasses (400 ml) - 1 pack (12 pieces),"Easysip Multicolour Premium Drinking Reusable Glasses (400 ml) ? refreshing drink to quench your thirst anytime, 1 pack (12 pieces).",Groceries,436,422,449,10,,,,,,
Eatopia Honey Mixed Berry Jam (No Refined Sugar) - 240 g,"Eatopia Honey Mixed Berry Jam (No Refined Sugar) ? natural sweetener for everyday use in food and beverages, 240 g.",Groceries,327,317,337,10,5,1701,,,,
Eco Soul Bagasse Disposable Plates - 10 pieces,"Eco Soul Bagasse Disposable Plates ? protective face mask for safe and comfortable wear, 10 pieces.",Groceries,164,159,169,10,,,,,,
Eco Soul Bagasse Divided Disposable Plates - (11 inches) - 1 set (10 pieces),"Eco Soul Bagasse Divided Disposable Plates ? protective face mask for safe and comfortable wear, (11 inches).",Groceries,193,187,199,10,,,,,,
Eco Soul Bagasse Round Disposable Plates - (6 inches) - 1 set (25 pieces),"Eco Soul Bagasse Round Disposable Plates ? protective face mask for safe and comfortable wear, (6 inches).",Groceries,145,140,149,10,,,,,,
Eco Soul Disposable Bowl (180 ml) - 25 pieces,"Eco Soul Disposable Bowl (180 ml) ? protective face mask for safe and comfortable wear, 25 pieces.",Groceries,115,112,119,10,,,,,,
Eco Soul Palm Leaf Round Disposable Plates - (12 inches) - 1 set (10 pieces),"Eco Soul Palm Leaf Round Disposable Plates ? protective face mask for safe and comfortable wear, (12 inches).",Groceries,222,215,229,10,,,,,,
Eco Soul Palm Leaf Round Disposable Plates - (12 inches) - 1 set (10 pieces),"Eco Soul Palm Leaf Round Disposable Plates ? protective face mask for safe and comfortable wear, (12 inches).",Groceries,183,178,189,10,,,,,,
Ecolink by Philips 30 W LED Batten Light (Cool Daylight) - 1 unit,Ecolink by Philips 30 W LED Batten Light (Cool Daylight) ? energy-efficient lighting solution for home and office use.,Electronics,436,423,450,10,18,8543,,,,
Ecolink by Philips 9 W LED Bulb (Crystal White) - 1 unit,Ecolink by Philips 9 W LED Bulb (Crystal White) ? energy-efficient lighting solution for home and office use.,Electronics,87,85,90,10,18,8543,,,,
Ecolink by Philips Chief Spike Guard 4 Way Extension Board (1.5 m) - 1 unit,"Ecolink by Philips Chief Spike Guard 4 Way Extension Board (1.5 m) ? quality product for everyday use, 1 unit.",Electronics,542,526,559,10,18,8543,,,,
Ecolink by Philips Church Chime Musical Door Bell - 1 unit,"Ecolink by Philips Church Chime Musical Door Bell ? quality product for everyday use, 1 unit.",Electronics,359,348,370,10,18,8543,,,,
Ecolink by Philips Gayatri Mantra Door Bell - 1 unit,"Ecolink by Philips Gayatri Mantra Door Bell ? quality product for everyday use, 1 unit.",Electronics,359,348,370,10,18,8543,,,,
Edel Bobby Hair Pin (Black) - 1 pack (48 pieces),"Edel Bobby Hair Pin (Black) ? quality product for everyday use, 1 pack (48 pieces).",Groceries,193,187,199,10,,,,,,
Edel Detangle Hair Brush (Neon Purple) - 1 unit,"Edel Detangle Hair Brush (Neon Purple) ? quality product for everyday use, 1 unit.",Groceries,678,658,699,10,12,2202,,,,
Edel Kids Claw Clip Set (Multicolour) - 1 set,"Edel Kids Claw Clip Set (Multicolour) ? quality product for everyday use, 1 set.",Groceries,290,281,299,10,,,,,,
"Edel Matte Mini Claw Clip (Black, Brown, Light Beige, Dark Beige) - 1 pack (4 pieces)","Edel Matte Mini Claw Clip (Black, Brown, Light Beige, Dark Beige) ? energy-efficient lighting solution for home and office use.",Groceries,388,376,400,10,,,,,,
Edel Mini Bamboo Hair Brush (Light Brown) - 1 unit,Edel Mini Bamboo Hair Brush (Light Brown) ? energy-efficient lighting solution for home and office use.,Groceries,436,422,449,10,,,,,,
"Edel Mini Boxy Claw Clip (Black, Brown, Light Beige, Dark Beige) - 1 pack (4 pieces)","Edel Mini Boxy Claw Clip (Black, Brown, Light Beige, Dark Beige) ? energy-efficient lighting solution for home and office use.",Groceries,193,187,199,10,,,,,,
Edel Reusable Cat Eye Press On Nails (Nude Brown) - 1 set,"Edel Reusable Cat Eye Press On Nails (Nude Brown) ? quality product for everyday use, 1 set.",Groceries,775,752,799,10,,,,,,
Edel Style Ponytail Holder Hair Ties (Black) - 2 pieces,"Edel Style Ponytail Holder Hair Ties (Black) ? quality product for everyday use, 2 pieces.",Groceries,484,470,499,10,,,,,,
Eduway Slate Pencils (White) - 100 piece,"Eduway Slate Pencils (White) ? effective protection against mosquitoes and insects for a peaceful night, 100 piece.",Home,194,188,200,10,12,4820,,,,
Ekam Plug-In Air Freshener Kit (Midnight) - 1 set,"Ekam Plug-In Air Freshener Kit (Midnight) ? long-lasting fragrance to keep your home smelling fresh and pleasant, 1 set.",Home,484,470,499,10,18,3402,,,,
Elecious Natural Multani Mitti Powder - 200 g,"Elecious Natural Multani Mitti Powder ? premium makeup for a flawless and long-lasting look, 200 g.",Beauty,290,281,299,10,18,3304,,,,
Electrorush Jeera Nimbu Pani ORS - 4 x 200 ml,"Electrorush Jeera Nimbu Pani ORS ? quality kitchenware for everyday cooking and dining, 4 x 200 ml.",Groceries,122,119,126,10,5,910,,,,
Elegant Polka Sequin Mata Yellow Chunri by Shubhika(Carton) - 1 unit,"Elegant Polka Sequin Mata Yellow Chunri by Shubhika(Carton) ? quality product for everyday use, 1 unit.",Groceries,145,140,149,10,,,,,,
"Elegant Weavers Furry Floor Mat (22.8"" x 14.9"", Grey) - 1 unit","Elegant Weavers Furry Floor Mat (22.8"" x 14.9"", Grey) ? quality product for everyday use, 1 unit.",Groceries,678,658,699,10,,,,,,
Elegant Weavers Jaipuri Design Microfiber Double Bedsheet (Beige)(Wrap) - 1 set,"Elegant Weavers Jaipuri Design Microfiber Double Bedsheet (Beige)(Wrap) ? durable and convenient storage solution to keep food fresh, 1 set.",Groceries,969,940,999,10,,,,,,
Elegant Weavers Leaf Design Double Bed Dohar (Grey)(Wrap) - 1 unit,"Elegant Weavers Leaf Design Double Bed Dohar (Grey)(Wrap) ? durable and convenient storage solution to keep food fresh, 1 unit.",Home,"1,551","1,504","1,599",10,12,9403,,,,
Elegant Weavers Leaf Design Single Bed Dohar (Grey) - 1 unit,"Elegant Weavers Leaf Design Single Bed Dohar (Grey) ? soft and comfortable home linen for daily use, 1 unit.",Home,969,940,999,10,12,9403,,,,
Elegant Weavers Microfiber Double Bedding Set (Multicolour) - 1 set,"Elegant Weavers Microfiber Double Bedding Set (Multicolour) ? quality product for everyday use, 1 set.",Groceries,"3,879","3,763","3,999",10,,,,,,
"Elegant Weavers Microfiber Double Bedsheet (Aqua Blue, White)(Wrap) - 1 set","Elegant Weavers Microfiber Double Bedsheet (Aqua Blue, White)(Wrap) ? effective protection against mosquitoes and insects for a peaceful night, 1 set.",Groceries,969,940,999,10,,,,,,
Elegant Weavers Microfiber Double Bedsheet (Multicolour) - 1 set,"Elegant Weavers Microfiber Double Bedsheet (Multicolour) ? quality product for everyday use, 1 set.",Groceries,969,940,999,10,,,,,,
Elegant Weavers Myom Bed in a Bag Double Bed Comforter (White) - 1 set,"Elegant Weavers Myom Bed in a Bag Double Bed Comforter (White) ? effective protection against mosquitoes and insects for a peaceful night, 1 set.",Groceries,"2,909","2,822","2,999",10,,,,,,
Elegant Weavers Printed Microfiber Double Bedsheet (White)(Wrap) - 1 set,"Elegant Weavers Printed Microfiber Double Bedsheet (White)(Wrap) ? effective protection against mosquitoes and insects for a peaceful night, 1 set.",Groceries,775,752,799,10,,,,,,
Emami 7 Oils in One Light & Non Sticky Hair Oil - 200 ML,Emami 7 Oils in One Light & Non Sticky Hair Oil ? energy-efficient lighting solution for home and office use.,Beauty,136,132,140,10,18,3304,,,,
Enamor Perfect Coverage Padded T-shirt Bra (Pearl) - 34 D - 1 piece,Enamor Perfect Coverage Padded T-shirt Bra (Pearl) ? comfortable and stylish wear for everyday use.,Fashion,872,846,899,10,12,6204,,,,
Engage Femme Women's Eau de Parfum - 100 ml,"Engage Femme Women's Eau de Parfum ? quality product for everyday use, 100 ml.",Groceries,630,611,649,10,,,,,,
ENN Litt Up Ubtan Brightening Face Mask(Tube) - 60 g,"ENN Litt Up Ubtan Brightening Face Mask(Tube) ? protective face mask for safe and comfortable wear, 60 g.",Health & Wellness,242,234,249,10,12,3005,,,,
ENN Semi Matte Liquid Lipstick (Mocha Martini) - 1.5 ml,"ENN Semi Matte Liquid Lipstick (Mocha Martini) ? premium makeup for a flawless and long-lasting look, 1.5 ml.",Beauty,290,281,299,10,18,3304,,,,
"Eno Chewy Bites - On The Go Acidity Relief, Tangy Lemon - 10 PIECE","Eno Chewy Bites ? quality product for everyday use, On The Go Acidity Relief, Tangy Lemon.",Groceries,63,61,65,10,12,2202,,,,
Eno Lemon Antacid - 30 g,"Eno Lemon Antacid ? quality product for everyday use, 30 g.",Groceries,58,56,60,10,,,,,,
Ensure Diabetes Care Milk Drink Mix - 375 g,"Ensure Diabetes Care Milk Drink Mix ? refreshing drink to quench your thirst anytime, 375 g.",Groceries,892,866,920,10,,,,,,
Epigamia Alphonso Mango Flavoured Greek Yogurt - 85 g,"Epigamia Alphonso Mango Flavoured Greek Yogurt ? quality product for everyday use, 85 g.",Groceries,58,56,60,10,12,405,,,,
Epigamia Blueberry Greek Yogurt Drink - 180 ml,"Epigamia Blueberry Greek Yogurt Drink ? refreshing drink to quench your thirst anytime, 180 ml.",Groceries,78,75,80,10,12,405,,,,
Epigamia Everyday Mango Flavoured Yogurt - 75 g,"Epigamia Everyday Mango Flavoured Yogurt ? quality product for everyday use, 75 g.",Groceries,24,24,25,10,12,405,,,,
Epigamia Mixed Berries Flavoured Greek Yogurt - 85 g,"Epigamia Mixed Berries Flavoured Greek Yogurt ? quality product for everyday use, 85 g.",Groceries,68,66,70,10,12,405,,,,
Epigamia Natural Greek Yogurt (85 g) - 85 g,"Epigamia Natural Greek Yogurt (85 g) ? quality product for everyday use, 85 g.",Groceries,58,56,60,10,12,405,,,,
Epigamia Turbo Blueberry Protein Yogurt(Container) - 140 g,"Epigamia Turbo Blueberry Protein Yogurt(Container) ? nutritional supplement to support your health and wellness goals, 140 g.",Groceries,121,118,125,10,12,405,,,,
Epigamia Turbo Chocolate Protein Milkshake - 250 ml,"Epigamia Turbo Chocolate Protein Milkshake ? indulgent chocolate treat with rich cocoa flavour, 250 ml.",Groceries,146,141,150,10,12,2202,,,,
Epigamia Turbo Protein Yogurt - 140 g,"Epigamia Turbo Protein Yogurt ? nutritional supplement to support your health and wellness goals, 140 g.",Groceries,121,118,125,10,12,405,,,,
Epigamia Turbo Protein Yogurt - 430 g,"Epigamia Turbo Protein Yogurt ? nutritional supplement to support your health and wellness goals, 430 g.",Groceries,315,306,325,10,12,405,,,,
Epigamia Vanilla Bean Flavoured Greek Yogurt - 85 g,"Epigamia Vanilla Bean Flavoured Greek Yogurt ? quality product for everyday use, 85 g.",Groceries,58,56,60,10,12,405,,,,
Eva Aura & Charm Perfume Spray (Citrus & Floral Blooms) - 240 ML,"Eva Aura & Charm Perfume Spray (Citrus & Floral Blooms) ? long-lasting fragrance for all-day freshness and confidence, 240 ML.",Beauty,485,470,500,10,18,3304,,,,
Evaa Enterprises 4 in 1 Multipurpose Cable - 1 unit,"Fast and reliable evaa enterprises 4 in 1 multipurpose cable for quick device charging, 1 unit.",Electronics,969,940,999,10,18,8543,,,,
"Evaa Enterprises Charging Adapter with Cable (Super Fast, 45 W)(Case) - 1 piece","Fast and reliable evaa enterprises charging adapter with cable (super fast, 45 w)(case) for quick device charging, 1 piece.",Electronics,"1,648","1,599","1,699",10,18,8543,,,,
Eveready 0.5 W LED Bulb (White) - 1 unit,Eveready 0.5 W LED Bulb (White) ? energy-efficient lighting solution for home and office use.,Electronics,68,66,70,10,18,8543,,,,
Eveready AA Carbon Zinc Battery - 4 units,"Eveready AA Carbon Zinc Battery ? nutritional supplement to support your health and wellness goals, 4 units.",Health & Wellness,63,61,65,10,12,3005,,,,
Eveready Everprotect Multi Plug - 1 unit,"Eveready Everprotect Multi Plug ? quality product for everyday use, 1 unit.",Groceries,373,362,385,10,,,,,,
Eveready LR44 Eveready Ultima Lithium Coin Battery (1.5V) - 10 PIECE,"Eveready LR44 Eveready Ultima Lithium Coin Battery (1.5V) ? quality product for everyday use, 10 PIECE.",Groceries,194,188,200,10,,,,,,
Eveready Ultima AAA Alkaline Battery - 6 pieces,"Eveready Ultima AAA Alkaline Battery ? quality product for everyday use, 6 pieces.",Groceries,291,282,300,10,,,,,,
Everest Amchur Powder - 100 g,"Everest Amchur Powder ? premium makeup for a flawless and long-lasting look, 100 g.",Beauty,93,90,96,10,18,3304,,,,
Everest Chaat Masala - 100 g,"Everest Chaat Masala ? freshly ground spice blend to add authentic flavour to your cooking, 100 g.",Groceries,84,82,87,10,5,910,,,,
Everest Chai Masala - 50 GM,"Everest Chai Masala ? aromatic and refreshing brew to energise your day, 50 GM.",Groceries,67,65,69,10,5,910,,,,
Everest Chicken Masala - 100 GM,"Everest Chicken Masala ? freshly ground spice blend to add authentic flavour to your cooking, 100 GM.",Groceries,95,92,98,10,5,910,,,,
Everest Chole Masala - 50 GM,"Everest Chole Masala ? freshly ground spice blend to add authentic flavour to your cooking, 50 GM.",Groceries,45,43,46,10,5,910,,,,
Everest Jeera Powder / Cumin Powder(Carton) - 100 g,"Everest Jeera Powder / Cumin Powder(Carton) ? freshly ground spice blend to add authentic flavour to your cooking, 100 g.",Beauty,113,109,116,10,18,3304,,,,
